GnPR,treeDensity,park_grass_ratio,parcel_grass_ratio,greenroof_ratio,roadDensity,bldDensity,avg_BH,avg_GPR,UHI_d
0.861601,0,0.040743,0.820858,0.0,0.3,9,56.7,1.822126,0.180491
0.86616,0,0.093067,0.773093,0.0,0.3,9,66.6,1.818521,0.173299
0.779309,0,0.07787,0.701439,0.0,0.3,9,27.8,0.986492,0.149772
0.86469,0,0.075079,0.789611,0.0,0.3,9,65.5,1.855416,0.174384
0.780097,0,0.083967,0.69613,0.0,0.3,9,27.4,0.954516,0.14895
0.813243,0,0.101552,0.711691,0.0,0.3,9,48.8,1.556177,0.168664
0.86579,0,0.124679,0.741111,0.0,0.3,9,64.6,2.031723,0.172511
0.782273,0,0.088338,0.693935,0.0,0.3,9,30.0,0.970016,0.150502
0.809578,0,0.088346,0.721232,0.0,0.3,9,42.3,1.486949,0.165537
0.868251,0,0.093058,0.775193,0.0,0.3,9,58.2,1.853317,0.176724
0.779657,0,0.07787,0.701787,0.0,0.3,9,27.7,0.982836,0.149589
0.868521,0,0.079221,0.7893,0.0,0.3,9,62.0,2.001977,0.179338
0.864031,0,0.075079,0.788952,0.0,0.3,9,65.3,1.868928,0.174646
0.789963,0,0.134371,0.655592,0.0,0.3,9,33.8,0.994372,0.149418
0.816193,0,0.127706,0.688487,0.0,0.3,9,49.5,1.642149,0.16758
0.870412,0,0.135935,0.734477,0.0,0.3,9,54.6,1.815048,0.171735
0.867535,0,0.093058,0.774477,0.0,0.3,9,58.0,1.862076,0.177226
0.866876,0,0.093067,0.773809,0.0,0.3,9,67.0,1.808354,0.172877
0.780004,0,0.07787,0.702134,0.0,0.3,9,27.6,0.976251,0.149224
0.864748,0,0.075079,0.789669,0.0,0.3,9,65.6,1.85785,0.174338
0.789841,0,0.173354,0.616487,0.0,0.3,9,33.2,1.102227,0.149212
0.70316,0,0.029264,0.673896,0.0,0.8,9,29.4,0.885754,0.148699
0.739853,0,0.0,0.739853,0.0,0.8,9,40.5,1.388391,0.166587
0.780909,0,0.0,0.780909,0.0,0.8,9,53.0,1.87718,0.179304
0.805177,0,0.0,0.805177,0.0,0.8,9,61.3,1.874457,0.177135
0.845756,0,0.076934,0.768822,0.0,0.8,9,78.9,2.050821,0.168505
0.700229,0,0.017183,0.683046,0.0,0.8,9,29.2,0.878892,0.149669
0.741314,0,0.0,0.741314,0.0,0.8,9,42.5,1.376655,0.166872
0.779497,0,0.0,0.779497,0.0,0.8,9,55.0,1.869638,0.182066
0.803418,0,0.0,0.803418,0.0,0.8,9,61.7,1.933245,0.178779
0.842628,0,0.0,0.842628,0.0,0.8,9,78.6,1.850643,0.171518
0.698867,0,0.015661,0.683206,0.0,0.8,9,28.0,0.855411,0.149269
0.740165,0,0.0,0.740165,0.0,0.8,9,39.2,1.377089,0.164737
0.778222,0,0.0,0.778222,0.0,0.8,9,53.1,1.874466,0.181461
0.808435,0,0.045994,0.762441,0.0,0.8,9,66.7,2.031952,0.178185
0.845756,0,0.091245,0.754511,0.0,0.8,9,85.6,2.173794,0.171952
0.702444,0,0.029264,0.67318,0.0,0.8,9,29.2,0.889871,0.148767
0.752119,0,0.072776,0.679343,0.0,0.8,9,45.0,1.382418,0.162237
0.792308,0,0.07693,0.715378,0.0,0.8,9,62.2,2.141719,0.178642
0.815516,0,0.072791,0.742725,0.0,0.8,9,66.7,1.900599,0.172226
0.705342,0,0.043355,0.661987,0.0,0.8,9,30.8,0.858822,0.148653
0.749965,0,0.075955,0.67401,0.0,0.8,9,49.6,1.52435,0.167158
0.795075,0,0.095462,0.699613,0.0,0.8,9,59.3,1.856242,0.173619
0.817874,0,0.119667,0.698207,0.0,0.8,9,66.7,2.058047,0.169852
0.852205,0,0.121947,0.730258,0.0,0.8,9,87.6,2.055186,0.165559
0.700114,0,0.032258,0.667856,0.0,0.8,9,30.5,0.901093,0.150628
0.749876,0,0.055418,0.694458,0.0,0.8,9,46.0,1.489816,0.164441
0.792677,0,0.082933,0.709744,0.0,0.8,9,58.9,1.923483,0.175822
0.817178,0,0.088649,0.728529,0.0,0.8,9,70.0,1.916581,0.172317
0.703769,0,0.046107,0.657662,0.0,0.8,9,27.8,0.888763,0.147078
0.792251,0,0.07693,0.715321,0.0,0.8,9,62.0,2.129163,0.178596
0.71172,0,0.083981,0.627739,0.0,0.8,9,27.6,0.832653,0.143664
0.752613,0,0.098406,0.654207,0.0,0.8,9,50.5,1.559117,0.166084
0.795422,0,0.095462,0.69996,0.0,0.8,9,58.9,1.838044,0.173037
0.817526,0,0.119667,0.697859,0.0,0.8,9,66.7,2.074671,0.170126
