sim_no,UHI_d,asphalt_ratio,park_grass_ratio,parcel_grass_ratio,podium_grass_ratio,GnPR,TCR,greenroof_ratio,SCR,parcel_fp_ratio,podium_fp_ratio,tower_GFA,podium_GFA,total_GFA,avg_BH,avg_GPR,parcelArea,parkLocation,parkRadius,roadDensity,bldDensity,podiumDensity,treeDensity,roofType
8689,0.267454,0.092195,0.076934,0.453482,0.229684,0.7601,0,0.128592,0.166819,0.029147,0.019114,1798700,274017.7566,2072700,87,2.182454,6,0,300,0.8,7,0.4,9,1
8690,0.194932,0.220688,0.170084,0.320892,0.165016,0.655992,0.07611,0.100096,0.146544,0.03398,0.023224,922990.3989,206486.2606,1129500,39.4,1.458528,2,42,300,0.8,7,0.4,9,1
8691,0.233664,0.167458,0.261776,0.328976,0.106387,0.697139,0.09451,0.116935,0.153871,0.03478,0.018468,1331600,232564.6791,1564200,64.6,2.356721,3,42,300,0.8,7,0.4,9,1
8692,0.28629,0.123344,0.268911,0.311643,0.12601,0.706564,0.099925,0.141453,0.198731,0.029361,0.028639,2030800,325263.5252,2356100,82.9,3.301412,4,42,300,0.8,7,0.4,9,1
8693,0.276644,0.111386,0.223644,0.348723,0.161102,0.733469,0.08055,0.136177,0.174102,0.031502,0.018962,1930500,285757.9289,2216300,91.2,2.950887,5,42,300,0.8,7,0.4,9,1
8694,0.262237,0.092195,0.186798,0.413886,0.177953,0.778637,0,0.114268,0.144066,0.023729,0.014899,1618000,243693.5075,1861700,100,2.272178,6,42,300,0.8,7,0.4,9,1
8695,0.206062,0.220688,0.074712,0.362575,0.185799,0.623086,0,0.128628,0.183826,0.044215,0.027599,994953.2706,258887.657,1253800,33.8,1.396277,2,72,300,0.8,7,0.4,9,1
8696,0.246244,0.167458,0.078687,0.435416,0.148576,0.662679,0.058546,0.144604,0.195122,0.04588,0.025259,1546000,286556.7523,1832600,54.1,2.089243,3,72,300,0.8,7,0.4,9,1
8697,0.311484,0.123344,0.082933,0.380409,0.178412,0.641754,0,0.207634,0.262171,0.043334,0.027268,1934200,442762.987,2377000,68.1,2.47894,4,72,300,0.8,7,0.4,9,1
8698,0.277557,0.111386,0.088649,0.435441,0.191325,0.715415,0.050696,0.152047,0.194337,0.039463,0.021145,1842900,309081.934,2152000,77.8,2.265531,5,72,300,0.8,7,0.4,9,1
8699,0.281084,0.092195,0.091245,0.46234,0.19741,0.750995,0.066026,0.138098,0.175524,0.029548,0.018713,1849200,294136.2629,2143300,94.5,2.338216,6,72,300,0.8,7,0.4,9,1
8700,0.233916,0.134203,0.034899,0.418759,0.16974,0.623398,0,0.200988,0.28381,0.053808,0.041411,1039900,435881.6546,1475800,28,1.437698,2,0,100,0.3,9,0.4,9,1
8701,0.264543,0.09955,0,0.490508,0.161196,0.651704,0,0.207728,0.289764,0.064786,0.041018,1614200,425178.4533,2039400,37.3,1.869408,3,0,100,0.3,9,0.4,9,1
8702,0.32113,0.044727,0,0.49527,0.163744,0.659014,0.032552,0.257929,0.334589,0.062204,0.03833,1994400,540959.3276,2535400,51.2,2.277786,4,0,100,0.3,9,0.4,9,1
8703,0.305731,0.058153,0,0.514781,0.173598,0.688379,0.032186,0.222645,0.284305,0.056184,0.03083,2008500,455988.5671,2464500,57.9,2.254044,5,0,100,0.3,9,0.4,9,1
